customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count,tenure_days,churn_risk
0079-WAYHT,2021-10-18,Organic,2022-10-18,Premium,Annual,,,9.99,2040,99,0,keshav,Germany,Bavaria,Male,1971-01-01,2022-05-02,1,100.0,1.0,1777.0,high
0080-ZXMEE,2024-06-09,Refferal,2028-06-08,Standard,Annual,,,9.99,1815,13,0,manish,Australia,Victoria,Male,1978-12-07,2028-04-21,0,80.0,1.0,812.0,low
0081-PWOKZ,2022-04-13,Refferal,2024-04-12,Basic,Monthly,2024-06-02,Too expensive,9.99,2616,91,1,rohan,USA,California,Male,1984-02-25,2023-07-10,0,60.0,1.0,781.0,high
0082-TIACP,2020-09-01,Organic,2022-09-01,Standard,Monthly,2022-09-02,Switched to competitor,12.99,1494,91,1,rahul,India,Maharashtra,Male,1978-05-25,,0,,,731.0,high
0083-MYNFF,2022-06-09,Paid,2023-06-09,Standard,Annual,,,13.99,1273,16,0,rohan,India,Maharashtra,Male,1975-08-01,2022-08-26,0,40.0,1.0,1543.0,low
0084-FBHUD,2023-09-23,Paid,2024-09-22,Premium,Monthly,,,12.99,453,8,0,pooja,Canada,Quebec,Female,1972-03-20,,0,,,1072.0,low
0085-KERJG,2021-07-12,Paid,2025-07-11,Standard,Annual,,,9.99,449,3,0,aarav,USA,Florida,Male,1986-12-23,,0,,,1875.0,low
0086-HOPAH,2021-04-12,Organic,2025-04-11,Basic,Annual,2025-06-06,Switched to competitor,6.99,300,77,1,sneha,Australia,Victoria,Female,1982-10-29,2024-12-08,1,60.0,1.0,1516.0,high
0087-IUOMK,2020-12-03,Organic,2024-12-02,Basic,Monthly,,,13.99,1384,20,0,arjun,USA,California,Male,1987-06-13,2024-07-31,0,10.0,1.0,2096.0,low
0088-FCAJB,2023-08-09,Refferal,2027-08-08,Premium,Annual,,,9.99,2840,70,0,manish,Canada,Ontario,Male,1989-04-07,,0,,,1117.0,high
0089-SHCQH,2020-06-07,Refferal,2023-06-07,Premium,Annual,,,6.99,1740,30,0,manish,Canada,Ontario,Male,1973-07-14,2023-03-25,1,80.0,1.0,2275.0,low
0090-TCEFE,2021-05-08,Paid,2022-05-08,Standard,Monthly,,,9.99,2429,14,0,keshav,India,Maharashtra,Male,1995-11-22,,0,,,1940.0,low
0091-VJOKR,2020-11-20,Paid,2023-11-20,Standard,Monthly,2023-12-13,Switched to competitor,19.99,835,73,1,manish,Germany,Bavaria,Male,1980-12-05,,0,,,1118.0,high
0092-WMCWF,2021-01-06,Paid,2022-01-06,Standard,Annual,,,9.99,2826,43,0,manish,Australia,Victoria,Male,1980-10-05,2021-06-22,0,100.0,1.0,2062.0,low
0093-SIQKV,2024-09-24,Paid,2028-09-23,Premium,Monthly,,,13.99,668,10,0,arjun,India,Tamil Nadu,Male,1981-06-29,,0,,,705.0,low
0094-VYSGL,2023-09-18,Organic,2025-09-17,Premium,Annual,2025-09-20,Moved away,9.99,1544,76,1,keshav,Australia,NSW,Male,1988-09-18,,0,,,733.0,high
0095-ZGJQT,2023-07-22,Organic,2026-07-21,Basic,Monthly,2026-08-19,Too expensive,13.99,353,85,1,rohan,Germany,Bavaria,Male,2000-07-07,2025-12-22,0,100.0,1.0,1124.0,high
0096-EOAVS,2023-05-22,Refferal,2026-05-21,Standard,Monthly,,,13.99,574,96,0,vikram,India,Tamil Nadu,Male,1974-01-31,2025-11-09,0,10.0,1.0,1196.0,high
0097-BPRNG,2024-10-08,Refferal,2026-10-08,Premium,Monthly,2026-10-29,Switched to competitor,19.99,2771,79,1,rohan,Germany,Berlin,Male,1987-07-29,2025-12-13,0,80.0,1.0,751.0,high
0098-GKFAC,2020-06-13,Organic,2024-06-12,Standard,Annual,,,12.99,409,37,0,keshav,USA,California,Male,1970-05-01,,0,,,2269.0,low
0099-LFEIS,2023-03-05,Paid,2027-03-04,Premium,Annual,2027-04-23,Switched to competitor,12.99,266,95,1,neha,Germany,Berlin,Female,1990-11-16,2026-11-10,0,20.0,1.0,1510.0,high
0100-EDNJY,2024-12-02,Organic,2027-12-02,Basic,Annual,,,12.99,360,61,0,neha,India,Karnataka,Female,1995-10-11,2027-09-19,0,100.0,1.0,636.0,med
0101-ZDOIF,2020-01-16,Paid,2024-01-15,Standard,Monthly,,,12.99,1333,67,0,aarav,Canada,Ontario,Male,1988-12-28,2023-06-26,0,60.0,1.0,2418.0,med
0102-AECJA,2020-02-10,Paid,2024-02-09,Standard,Monthly,,,6.99,858,1,0,ananya,Germany,Berlin,Female,1995-09-26,,0,,,2393.0,low
0103-SJIWB,2020-01-27,Organic,2022-01-26,Basic,Annual,,,9.99,208,67,0,nikhil,Canada,Quebec,Male,1976-07-20,,0,,,2407.0,med
0104-ZLIGB,2023-10-30,Refferal,2027-10-29,Basic,Monthly,,,9.99,2923,33,0,neha,USA,Florida,Female,1995-04-29,2027-04-10,0,20.0,1.0,1035.0,low
0105-AFUJE,2021-01-20,Paid,2023-01-20,Basic,Annual,2023-02-10,Moved away,12.99,2426,100,1,neha,Australia,Victoria,Female,1986-02-02,,0,,,751.0,high
0106-ZOAIW,2021-10-25,Refferal,2023-10-25,Standard,Annual,,,9.99,799,37,0,rahul,Australia,Victoria,Male,1984-06-09,2023-05-28,0,40.0,1.0,1770.0,low
0107-LYUAJ,2024-02-29,Organic,2026-02-28,Premium,Monthly,,,9.99,2255,26,0,sophia,Germany,Bavaria,Female,2001-02-15,2026-01-06,1,60.0,1.0,913.0,low
0108-UZYUM,2020-11-14,Organic,2023-11-14,Standard,Monthly,,,19.99,2715,15,0,manish,Canada,Ontario,Male,1982-05-14,,0,,,2115.0,low
0109-SZUKM,2023-12-24,Organic,2025-12-23,Standard,Annual,,,19.99,177,5,0,james,Canada,Quebec,Male,1993-03-06,2025-11-09,0,100.0,1.0,980.0,low
0110-EPNBL,2022-04-30,Organic,2023-04-30,Premium,Annual,,,13.99,494,43,0,nikhil,Australia,NSW,Male,1983-07-30,,0,,,1583.0,low
0111-CFKTB,2022-10-27,Organic,2026-10-26,Basic,Monthly,2026-11-12,Too expensive,9.99,681,79,1,divya,Australia,Victoria,Female,1993-04-16,2026-01-07,1,40.0,1.0,1477.0,high
0112-TLURI,2024-03-21,Organic,2026-03-21,Standard,Monthly,,,6.99,2848,47,0,sophia,India,Delhi,Female,1973-03-09,,0,,,892.0,low
0113-QCQCF,2023-03-03,Refferal,2025-03-02,Standard,Monthly,,,9.99,1359,100,0,sophia,India,Karnataka,Female,1971-09-14,2024-12-27,0,80.0,1.0,1276.0,high
0114-YTINU,2023-03-11,Paid,2025-03-10,Standard,Annual,,,6.99,2445,28,0,vikram,Canada,Quebec,Male,1971-02-27,2025-01-11,0,20.0,1.0,1268.0,low
0115-AAKDN,2022-10-01,Refferal,2024-09-30,Premium,Monthly,2024-11-06,Switched to competitor,19.99,2129,75,1,keshav,Australia,Victoria,Male,1971-06-08,,0,,,767.0,high
0116-AXGSV,2023-12-28,Paid,2024-12-27,Basic,Annual,,,13.99,1807,68,0,sophia,Canada,Quebec,Female,1984-09-06,2024-11-13,1,20.0,1.0,976.0,med
0117-QVAGX,2020-02-22,Paid,2024-02-21,Premium,Annual,2024-02-29,Switched to competitor,6.99,1595,90,1,daniel,India,Maharashtra,Male,1973-10-19,2023-08-06,1,60.0,1.0,1468.0,high
0118-QPWST,2021-04-20,Paid,2024-04-19,Standard,Monthly,2024-04-28,Too expensive,19.99,2886,84,1,arjun,Germany,Bavaria,Male,1987-05-08,2023-12-23,0,20.0,1.0,1104.0,high
0119-FYLJQ,2024-11-10,Organic,2026-11-10,Standard,Monthly,,,13.99,1492,67,0,meera,India,Tamil Nadu,Female,1994-11-15,,0,,,658.0,med
0120-OPYYR,2023-03-16,Organic,2024-03-15,Premium,Monthly,,,13.99,2592,2,0,sneha,USA,Florida,Female,1989-01-19,2023-12-16,1,10.0,1.0,1263.0,low
0121-WHAGY,2021-10-22,Paid,2025-10-21,Standard,Monthly,,,6.99,536,77,0,kavya,Australia,Victoria,Female,1989-01-09,,0,,,1773.0,high
0122-SDIJD,2024-09-28,Paid,2028-09-27,Basic,Annual,,,6.99,1181,55,0,daniel,India,Delhi,Male,1976-05-05,2027-12-06,1,80.0,1.0,701.0,med
0123-WJLHI,2023-11-17,Organic,2027-11-16,Standard,Monthly,2027-12-04,Switched to competitor,13.99,346,89,1,ananya,India,Karnataka,Female,1998-02-03,2027-05-09,1,40.0,1.0,1478.0,high
0124-SXNHJ,2020-06-28,Paid,2021-06-28,Premium,Annual,2021-08-12,Too expensive,19.99,244,79,1,divya,Germany,Berlin,Female,2001-05-29,2020-12-26,1,100.0,1.0,410.0,high
0125-MKQYY,2022-11-29,Refferal,2025-11-28,Premium,Monthly,,,9.99,1748,6,0,nikhil,Canada,Ontario,Male,1994-08-01,2025-08-18,0,80.0,1.0,1370.0,low
0126-BXRPI,2022-11-21,Organic,2025-11-20,Premium,Monthly,,,9.99,2008,45,0,arjun,Australia,Victoria,Male,1984-05-11,2025-10-04,0,100.0,1.0,1378.0,low
0127-LQUEL,2022-11-20,Paid,2026-11-19,Standard,Monthly,,,13.99,2528,64,0,manish,Germany,Berlin,Male,1996-05-13,,0,,,1379.0,med
0128-ZRJVQ,2020-01-18,Paid,2024-01-17,Premium,Annual,,,6.99,1359,30,0,ananya,Australia,Victoria,Female,1972-04-29,,0,,,2416.0,low
0129-OMYPL,2021-04-05,Organic,2025-04-04,Standard,Monthly,,,19.99,1986,2,0,daniel,Australia,Victoria,Male,1996-07-28,2024-11-23,1,100.0,1.0,1973.0,low
0130-HJUSK,2024-09-02,Organic,2025-09-02,Premium,Annual,,,9.99,1490,84,0,rohan,Canada,Ontario,Male,1978-02-14,,0,,,727.0,high
0131-YVZGK,2022-09-19,Refferal,2024-09-18,Standard,Annual,,,13.99,1186,31,0,rohan,Canada,Ontario,Male,1986-11-03,,0,,,1441.0,low
0132-NZNJK,2024-05-08,Paid,2027-05-08,Basic,Monthly,,,19.99,756,79,0,rohan,Germany,Berlin,Male,1995-09-14,2027-03-30,0,20.0,1.0,844.0,high
0133-WGVHB,2021-02-02,Paid,2023-02-02,Basic,Monthly,,,12.99,2902,98,0,rahul,Canada,Ontario,Male,1989-06-28,2022-05-03,1,80.0,1.0,2035.0,high
0134-NQRHQ,2024-11-23,Organic,2025-11-23,Premium,Monthly,2025-12-13,Moved away,9.99,752,93,1,sneha,Germany,Berlin,Female,1984-05-12,,0,,,385.0,high
0135-GYLYR,2022-08-10,Paid,2024-08-09,Standard,Monthly,,,19.99,742,40,0,rohan,USA,California,Male,1981-12-07,2024-05-31,0,60.0,1.0,1481.0,low
0136-SHZTS,2023-01-29,Refferal,2025-01-28,Standard,Annual,,,6.99,306,17,0,vikram,Canada,Ontario,Male,1978-07-08,,0,,,1309.0,low
0137-QLMFK,2021-08-10,Organic,2024-08-09,Basic,Annual,,,6.99,584,17,0,meera,USA,Texas,Female,1975-08-29,,0,,,1846.0,low
0138-QDSRY,2020-03-01,Organic,2024-02-29,Basic,Annual,,,13.99,2140,40,0,ananya,India,Tamil Nadu,Female,1975-02-02,2023-05-10,1,80.0,1.0,2373.0,low
0139-WWRWX,2023-05-26,Organic,2025-05-25,Premium,Annual,,,19.99,989,46,0,daniel,Canada,Ontario,Male,1999-02-28,2025-01-14,1,40.0,1.0,1192.0,low
0140-QRZLA,2021-09-30,Paid,2025-09-29,Standard,Monthly,,,12.99,825,68,0,neha,Canada,Ontario,Female,1985-05-18,2025-05-28,0,60.0,1.0,1795.0,med
0141-BPRBT,2024-11-01,Paid,2027-11-01,Premium,Annual,,,12.99,2491,1,0,ananya,India,Gujarat,Female,1986-12-26,,0,,,667.0,low
0142-XYSMD,2021-12-14,Organic,2025-12-13,Basic,Monthly,,,9.99,2139,20,0,daniel,India,Maharashtra,Male,1987-07-11,2025-10-11,1,10.0,1.0,1720.0,low
0143-QLSTG,2023-02-05,Organic,2027-02-04,Standard,Annual,2027-02-25,Too expensive,6.99,1914,86,1,neha,India,Gujarat,Female,1971-01-20,2026-07-18,1,40.0,1.0,1481.0,high
0144-CWWNZ,2023-06-03,Organic,2024-06-02,Basic,Annual,,,13.99,1487,37,0,neha,Canada,Ontario,Female,1973-10-09,2023-09-06,1,20.0,1.0,1184.0,low
0145-EXIYR,2021-08-10,Refferal,2022-08-10,Standard,Monthly,,,19.99,2176,49,0,vikram,Australia,NSW,Male,1972-06-05,2022-04-27,0,60.0,1.0,1846.0,low
0146-WUCXK,2020-02-14,Paid,2023-02-13,Standard,Monthly,,,9.99,2451,62,0,nikhil,USA,California,Male,1995-11-03,2022-05-31,1,20.0,1.0,2389.0,med
0147-QZGPM,2024-11-03,Organic,2028-11-02,Standard,Annual,,,9.99,1200,39,0,manish,India,Tamil Nadu,Male,1979-11-07,2028-08-16,0,100.0,1.0,665.0,low
0148-JXKPN,2022-05-04,Refferal,2024-05-03,Standard,Monthly,,,6.99,2996,17,0,keshav,USA,Florida,Male,1985-10-24,2023-07-13,0,60.0,1.0,1579.0,low
0149-MBVHH,2024-05-21,Paid,2025-05-21,Standard,Monthly,,,19.99,1289,83,0,rohan,India,Karnataka,Male,1971-07-23,2025-02-25,1,20.0,1.0,831.0,high
